kind	name	threshold	rc	wall_s	inadequate	spec_failures	max_osr	compile_count	compiles	jits	sites	retry_after	retry_before	reopt	phase_ms	dfg_compile_ms	ftl_compile_ms	total_compile_ms	stub_bytes_sum	unknown_option	repro	log
sweep	A	baseline	0	0.1004	1002	1002	1000	0		{}	f@4/InadequateCoverage=1001|@461/InadequateCoverage=1	1	0	1	84.231	1.397	0.0	1.65	1408	0	name=A-durable-same-site sum=28000 warmup_ms=1.305 phase_ms=84.231 steady_ms=0.293 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-A-tbaseline.log
sweep	B	baseline	0	0.0112	1	1	0	0		{}	f@4/InadequateCoverage=1	0	0	0	0.198	0.246	0.0	0.444	512	0	name=B-exactly-1 sum=1 warmup_ms=1.023 phase_ms=0.198 after_ms=0.229 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-B-tbaseline.log
sweep	C	baseline	0	0.0115	2	2	1	0		{}	f@4/InadequateCoverage=2	0	0	0	0.288	0.241	0.0	0.439	512	0	name=C-exactly-2 sum=2 warmup_ms=1.125 phase_ms=0.288 after_ms=0.243 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=2	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-C-tbaseline.log
sweep	D	baseline	0	0.0113	3	3	2	0		{}	f@4/InadequateCoverage=3	0	0	0	0.379	0.238	0.0	0.43	512	0	name=D-exactly-3 sum=3 warmup_ms=1.045 phase_ms=0.379 after_ms=0.258 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-D-tbaseline.log
sweep	E	baseline	0	0.0112	5	5	4	0		{}	f@4/InadequateCoverage=5	0	0	0	0.451	0.224	0.0	0.418	512	0	name=E-exactly-5 sum=5 warmup_ms=0.978 phase_ms=0.451 after_ms=0.248 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-E-tbaseline.log
sweep	F	baseline	0	0.0115	6	6	5	0		{}	f@4/InadequateCoverage=6	0	0	0	0.650	0.235	0.0	0.426	512	0	name=F-exactly-6 sum=6 warmup_ms=1.045 phase_ms=0.650 after_ms=0.238 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-F-tbaseline.log
sweep	G	baseline	0	0.0157	32	32	31	0		{}	f@5/InadequateCoverage=1|f@23/InadequateCoverage=1|f@41/InadequateCoverage=1|f@59/InadequateCoverage=1|f@77/InadequateCoverage=1|f@95/InadequateCoverage=1|f@113/InadequateCoverage=1|f@131/InadequateCoverage=1|f@149/InadequateCoverage=1|f@167/InadequateCoverage=1|f@185/InadequateCoverage=1|f@203/InadequateCoverage=1	0	0	0	4.308	0.67	0.0	0.908	16384	0	name=G-32x1 sum=528 warmup_ms=1.839 phase_ms=4.308 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=1 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-G-tbaseline.log
sweep	H	baseline	0	0.0178	64	64	63	0		{}	f@5/InadequateCoverage=2|f@23/InadequateCoverage=2|f@41/InadequateCoverage=2|f@59/InadequateCoverage=2|f@77/InadequateCoverage=2|f@95/InadequateCoverage=2|f@113/InadequateCoverage=2|f@131/InadequateCoverage=2|f@149/InadequateCoverage=2|f@167/InadequateCoverage=2|f@185/InadequateCoverage=2|f@203/InadequateCoverage=2	0	0	0	6.705	0.654	0.0	0.885	16384	0	name=H-32x2 sum=1056 warmup_ms=1.864 phase_ms=6.705 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=2 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-H-tbaseline.log
sweep	I	baseline	0	0.0216	96	96	95	0		{}	f@5/InadequateCoverage=3|f@23/InadequateCoverage=3|f@41/InadequateCoverage=3|f@59/InadequateCoverage=3|f@77/InadequateCoverage=3|f@95/InadequateCoverage=3|f@113/InadequateCoverage=3|f@131/InadequateCoverage=3|f@149/InadequateCoverage=3|f@167/InadequateCoverage=3|f@185/InadequateCoverage=3|f@203/InadequateCoverage=3	0	0	0	10.074	0.652	0.0	0.885	16384	0	name=I-32x3 sum=1584 warmup_ms=1.943 phase_ms=10.074 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=3 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-I-tbaseline.log
sweep	J	baseline	0	0.027	192	192	191	0		{}	f@5/InadequateCoverage=6|f@23/InadequateCoverage=6|f@41/InadequateCoverage=6|f@59/InadequateCoverage=6|f@77/InadequateCoverage=6|f@95/InadequateCoverage=6|f@113/InadequateCoverage=6|f@131/InadequateCoverage=6|f@149/InadequateCoverage=6|f@167/InadequateCoverage=6|f@185/InadequateCoverage=6|f@203/InadequateCoverage=6	0	0	0	15.434	0.641	0.0	0.866	16384	0	name=J-32x6 sum=3168 warmup_ms=1.832 phase_ms=15.434 dfg_before=1 dfg_after=1 retry_before=0 retry_after=0 reopt=0 hits=6 sites=32	/workspace/Tools/InadequateCoverageResearch/results/v2-baseline-3a999a1a-J-tbaseline.log
