kind	name	threshold	rc	wall_s	inadequate	spec_failures	max_osr	compile_count	compiles	jits	sites	retry_after	retry_before	reopt	phase_ms	dfg_compile_ms	ftl_compile_ms	total_compile_ms	stub_bytes_sum	unknown_option	repro	log
sweep	A	0	0	0.0166	3	3	0	0		{}	f@4/InadequateCoverage=1|@461/InadequateCoverage=1|@669/InadequateCoverage=1	1	0	1	2.388	2.015	0.0	2.266	2400	0	name=A-durable-same-site sum=28000 warmup_ms=1.526 phase_ms=2.388 steady_ms=1.324 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t0.log
sweep	A	1	0	0.0139	3	3	1	0		{}	f@4/InadequateCoverage=2|@461/InadequateCoverage=1	1	0	1	2.388	1.181	0.0	1.385	1440	0	name=A-durable-same-site sum=28000 warmup_ms=1.228 phase_ms=2.388 steady_ms=0.404 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t1.log
sweep	A	2	0	0.0137	4	4	2	0		{}	f@4/InadequateCoverage=3|@461/InadequateCoverage=1	1	0	1	2.312	1.145	0.0	1.361	1440	0	name=A-durable-same-site sum=28000 warmup_ms=1.348 phase_ms=2.312 steady_ms=0.393 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t2.log
sweep	A	3	0	0.0133	5	5	3	0		{}	f@4/InadequateCoverage=4|@461/InadequateCoverage=1	1	0	1	2.577	1.165	0.0	1.359	1440	0	name=A-durable-same-site sum=28000 warmup_ms=1.029 phase_ms=2.577 steady_ms=0.388 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t3.log
sweep	A	5	0	0.0134	7	7	5	0		{}	f@4/InadequateCoverage=6|@461/InadequateCoverage=1	1	0	1	2.710	1.129	0.0	1.314	1440	0	name=A-durable-same-site sum=28000 warmup_ms=1.299 phase_ms=2.710 steady_ms=0.385 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t5.log
sweep	A	10	0	0.0141	12	12	10	0		{}	f@4/InadequateCoverage=11|@461/InadequateCoverage=1	1	0	1	3.430	1.125	0.0	1.308	1440	0	name=A-durable-same-site sum=28000 warmup_ms=1.092 phase_ms=3.430 steady_ms=0.415 dfg_before=1 dfg_after=2 dfg_steady=2 retry_before=0 retry_after=1 retry_steady=1 reopt=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-A-t10.log
sweep	B	0	0	0.0108	1	1	0	0		{}	f@4/InadequateCoverage=1	1	0	1	0.253	0.362	0.0	0.531	544	0	name=B-exactly-1 sum=1 warmup_ms=0.999 phase_ms=0.253 after_ms=0.695 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-B-t0.log
sweep	B	1	0	0.0108	1	1	0	0		{}	f@4/InadequateCoverage=1	0	0	0	0.236	0.228	0.0	0.417	544	0	name=B-exactly-1 sum=1 warmup_ms=1.317 phase_ms=0.236 after_ms=0.328 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-B-t1.log
sweep	B	2	0	0.0109	1	1	0	0		{}	f@4/InadequateCoverage=1	0	0	0	0.222	0.253	0.0	0.446	544	0	name=B-exactly-1 sum=1 warmup_ms=1.211 phase_ms=0.222 after_ms=0.312 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-B-t2.log
sweep	B	3	0	0.0109	1	1	0	0		{}	f@4/InadequateCoverage=1	0	0	0	0.234	0.235	0.0	0.42	544	0	name=B-exactly-1 sum=1 warmup_ms=1.324 phase_ms=0.234 after_ms=0.356 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-B-t3.log
sweep	B	5	0	0.0109	1	1	0	0		{}	f@4/InadequateCoverage=1	0	0	0	0.227	0.225	0.0	0.417	544	0	name=B-exactly-1 sum=1 warmup_ms=1.273 phase_ms=0.227 after_ms=0.307 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=1	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-B-t5.log
